Comment,Designator,Footprint,LCSC
10R_0603,R1,PCM_4ms_Resistor:R_0603,C22859
4.7k_0603,"R11,R12",PCM_4ms_Resistor:R_0603,C23162
33R_0603,R2,PCM_4ms_Resistor:R_0603,C23140
1K_0603,"R3,R4,R5,R6,R7,R8,R9,R10",PCM_4ms_Resistor:R_0603,C21190
