Comment,Designator,Footprint,LCSC,Quantity
1K,"R15,R19",R_0402_1005Metric,C11702,2
FerriteBead_0603_2A,"L1,L2",R_0603,C14709,2
33pF C0G,"C5,C6",C_0603,C1663,2
100K,"R1,R10,R11,R12,R13,R14,R16,R17,R18,R2,R20,R3,R4,R5,R6,R7,R8,R9",R_0402_1005Metric,C25741,18
10K,R21,R_0402_1005Metric,C25744,1
12K,R22,R_0402_1005Metric,C25752,1
10uF,"C7,C8",C_0805,C440198,2
TL074,"U1,U3,U5,U7",SOIC-14_3.9x8.7mm_P1.27mm,C6964,4
Schottky,"D1,D2",D_SMA_Handsoldering,C8678,2
