Comment,Designator,Footprint,LCSC,Quantity
33pF C0G,"C3,C4,C5,C6",C_0603,C1663,4
330pF C0G,"C10,C7,C8,C9",C_0603,C1664,4
1K,"R15,R16,R33,R34",R_0603,C21190,4
5.1K,"R10,R13,R14,R9",R_0603,C23186,4
100K,"R1,R17,R18,R19,R2,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R3,R30,R5,R6,R7,R8",R_0603,C25803,21
10K,"R11,R12,R31,R32,R35,R36,R37,R38,R39,R4,R40",R_0603,C25804,11
100nF,"C11,C12,C13,C14,C16,C17,C18,C19",C_0402_1005Metric_small_pads,C307331,8
100nF Film,"C1,C2",C_1210,C569766,2
TL074,"OP1,OP2,OP3,OP4",SOIC-14_3.9x8.7mm_P1.27mm,C6964,4
