Comment,Designator,Footprint,LCSC,Quantity
100nF_0603_50V,C3,C_0603,C14663,1
FerriteBead_0603_2A,"L1,L2",R_0603,C14709,2
Schottky,"D1,D2",D_SMB_Handsoldering,C222239,2
470R_0603,R1,R_0603,C23179,1
10uF_0805_25V,"C1,C2",C_0805,C440198,2
LM4040-2.5,U1,SOT23-3_PO132,C460607,1
